url,viewport,impact,ruleId,help,target,wcagTags,helpUrl,wcagUrls
https://dsmith-bhhs.github.io/independent_reading,desktop,serious,document-title,"Documents must have <title> element to aid in navigation","html","wcag2a; wcag242",https://dequeuniversity.com/rules/axe/4.11/document-title?application=playwright,"https://www.w3.org/WAI/WCAG22/Understanding/page-titled"
https://dsmith-bhhs.github.io/independent_reading,desktop,serious,html-has-lang,"<html> element must have a lang attribute","html","wcag2a; wcag311",https://dequeuniversity.com/rules/axe/4.11/html-has-lang?application=playwright,"https://www.w3.org/WAI/WCAG22/Understanding/language-of-page"
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,landmark-one-main,"Document should have one main landmark","html","best-practice",https://dequeuniversity.com/rules/axe/4.11/landmark-one-main?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""11""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""19""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""37""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""48""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""56""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""63""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","p[data-dc-tpl=""64""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,desktop,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""74""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,serious,document-title,"Documents must have <title> element to aid in navigation","html","wcag2a; wcag242",https://dequeuniversity.com/rules/axe/4.11/document-title?application=playwright,"https://www.w3.org/WAI/WCAG22/Understanding/page-titled"
https://dsmith-bhhs.github.io/independent_reading,mobile,serious,html-has-lang,"<html> element must have a lang attribute","html","wcag2a; wcag311",https://dequeuniversity.com/rules/axe/4.11/html-has-lang?application=playwright,"https://www.w3.org/WAI/WCAG22/Understanding/language-of-page"
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,landmark-one-main,"Document should have one main landmark","html","best-practice",https://dequeuniversity.com/rules/axe/4.11/landmark-one-main?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""11""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""19""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""37""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""48""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""56""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""63""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","p[data-dc-tpl=""64""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
https://dsmith-bhhs.github.io/independent_reading,mobile,moderate,region,"All page content should be contained by landmarks","div[data-dc-tpl=""74""]","best-practice",https://dequeuniversity.com/rules/axe/4.11/region?application=playwright,""
